,LastActivityDate,Title,Tags,Score,sentence_bow,sentence_bow_lem,sentence_dl
0,2022-08-29 20:14:36,Determine the type of an object?,<python><dictionary><types><typeof>,2164,determine type object,determine type object,determine the type of an object ?
1,2022-07-02 05:29:08,Why can't Python parse this JSON data?,<python><json><parsing>,1503,why n't python parse json data,why n't python parse json data,why ca n't python parse this json data ?
2,2023-11-20 22:23:13,Best way to convert string to bytes in Python 3?,<python><string><character-encoding><python-3.x>,1482,best way convert string bytes python,best way convert string byte python,best way to convert string to bytes in python 3 ?
3,2022-11-09 15:44:56,Display number with leading zeros,<python><integer><string-formatting>,1419,display number leading zeros,display number leading zero,display number with leading zeros
4,2023-07-28 17:04:02,Create a Pandas Dataframe by appending one row at a time,<python><pandas><dataframe><append>,1399,create pandas dataframe appending one row time,create panda dataframe appending one row time,create a pandas dataframe by appending one row at a time
5,2022-11-23 08:30:50,Should I use 'has_key()' or 'in' on Python dicts?,<python><dictionary>,1122,should use 'has_key 'in python dicts,should use 'has_key 'in python dicts,should i use 'has_key ( ) ' or 'in ' on python dicts ?
6,2022-08-15 07:57:04,How to check if type of a variable is string?,<python><string><variables><types>,1051,how check type variable string,how check type variable string,how to check if type of a variable is string ?
7,2023-01-27 10:02:02,Which exception should I raise on bad/illegal argument combinations in Python?,<python><exception><arguments>,820,which exception raise bad illegal argument combinations python,which exception raise bad illegal argument combination python,which exception should i raise on bad illegal argument combinations in python ?
8,2022-05-31 17:20:40,Using @property versus getters and setters,<python><properties><getter-setter>,798,using property versus getters setters,using property versus getters setter,using property versus getters and setters
9,2023-01-29 17:03:17,"How can I check if a string represents an int, without using try/except?",<python><string><integer>,733,how check string represents int without using try except,how check string represents int without using try except,"how can i check if a string represents an int , without using try except ?"
10,2023-08-23 15:00:24,How can I use pickle to save a dict (or any other Python object)?,<python><dictionary><pickle>,702,how use pickle save dict python object,how use pickle save dict python object,how can i use pickle to save a dict ( or any other python object ) ?
11,2022-08-28 19:10:16,Getting a map() to return a list in Python 3.x,<python><list><python-3.x><map-function>,645,getting map return list python 3.x,getting map return list python 3.x,getting a map ( ) to return a list in python 3.x
12,2023-11-07 17:49:05,How can I pivot a dataframe?,<python><pandas><group-by><pivot><pivot-table>,625,how pivot dataframe,how pivot dataframe,how can i pivot a dataframe ?
13,2020-01-31 06:45:21,Determine if variable is defined in Python,<python><variables><defined>,553,determine variable defined python,determine variable defined python,determine if variable is defined in python
14,2022-07-05 21:20:38,Reading JSON from a file,<python><json>,550,reading json file,reading json file,reading json from a file
15,2021-03-14 20:21:58,Python Dictionary Comprehension,<python><dictionary><list-comprehension>,525,python dictionary comprehension,python dictionary comprehension,python dictionary comprehension
16,2022-09-03 09:33:18,"Is there a way to perform ""if"" in python's lambda?",<python><lambda><conditional-operator>,512,way perform python lambda,way perform python lambda,is there a way to perform `` if '' in python 's lambda ?
17,2020-02-18 13:06:27,Convert a list of characters into a string,<python><string>,489,convert list characters string,convert list character string,convert a list of characters into a string
18,2023-11-03 07:44:03,"How to add to the PYTHONPATH in Windows, so it finds my modules/packages?",<python><windows><environment-variables><pythonpath>,475,how add pythonpath windows finds modules packages,how add pythonpath window find module package,"how to add to the pythonpath in windows , so it finds my modules packages ?"
19,2023-03-21 08:25:43,How to find list intersection?,<python><arrays><intersection>,447,how find list intersection,how find list intersection,how to find list intersection ?
20,2023-10-13 14:51:45,Redirect stdout to a file in Python?,<python><stdout>,440,redirect stdout file python,redirect stdout file python,redirect stdout to a file in python ?
21,2021-06-25 14:13:28,Store output of subprocess.Popen call in a string,<python><subprocess>,430,store output subprocess.popen call string,store output subprocess.popen call string,store output of subprocess.popen call in a string
22,2022-12-19 12:27:33,"Why does range(start, end) not include end?",<python><range>,426,why range start end include end,why range start end include end,"why does range ( start , end ) not include end ?"
23,2024-03-21 04:06:15,Convert a python dict to a string and back,<python><json><dictionary><serialization>,415,convert python dict string back,convert python dict string back,convert a python dict to a string and back
24,2022-11-02 08:35:13,How do you properly determine the current script directory?,<python><path><working-directory>,409,how properly determine current script directory,how properly determine current script directory,how do you properly determine the current script directory ?
25,2019-04-20 01:29:27,How can I check if a key exists in a dictionary?,<python>,404,how check key exists dictionary,how check key exists dictionary,how can i check if a key exists in a dictionary ?
26,2022-08-06 19:04:52,Double Iteration in List Comprehension,<python><list-comprehension>,402,double iteration list comprehension,double iteration list comprehension,double iteration in list comprehension
27,2022-03-30 14:18:48,What's the difference between `raw_input()` and `input()` in Python 3?,<python><python-3.x><input>,400,what difference raw_input input python,what difference raw_input input python,what 's the difference between ` raw_input ( ) ` and ` input ( ) ` in python 3 ?
28,2022-05-24 08:21:27,NumPy array initialization (fill with identical values),<python><arrays><numpy>,396,numpy array initialization fill identical values,numpy array initialization fill identical value,numpy array initialization ( fill with identical values )
29,2021-06-28 09:57:35,Python function global variables?,<python><global-variables>,372,python function global variables,python function global variable,python function global variables ?
30,2022-05-08 17:52:09,Get loop count inside a for-loop,<python><for-loop>,361,get loop count inside loop,get loop count inside loop,get loop count inside a for loop
31,2023-05-14 01:50:26,How do I convert all of the items in a list to floats?,<python><list><casting>,356,how convert items list floats,how convert item list float,how do i convert all of the items in a list to floats ?
32,2022-12-29 23:24:40,'str' object has no attribute 'decode'. Python 3 error?,<python><python-3.x>,352,'str object attribute 'decode python error,'str object attribute 'decode python error,'str ' object has no attribute 'decode ' . python 3 error ?
33,2022-06-09 08:35:13,Access multiple elements of list knowing their index,<python><python-3.x><list><indexing><element>,343,access multiple elements list knowing index,access multiple element list knowing index,access multiple elements of list knowing their index
34,2022-04-05 10:52:38,Take the content of a list and append it to another list,<python><list>,341,take content list append another list,take content list append another list,take the content of a list and append it to another list
35,2023-02-02 18:17:15,List files ONLY in the current directory,<python>,330,list files only current directory,list file only current directory,list files only in the current directory
36,2023-04-24 15:57:39,"Error ""Import Error: No module named numpy"" on Windows",<python><python-3.x><numpy><import><scipy>,326,error import error module named numpy windows,error import error module named numpy window,error `` import error : no module named numpy '' on windows
37,2023-12-28 20:34:37,Are nested try/except blocks in Python a good programming practice?,<python>,320,are nested try except blocks python good programming practice,are nested try except block python good programming practice,are nested try except blocks in python a good programming practice ?
38,2015-11-06 10:04:38,How do I change the string representation of a Python class?,<python><string><python-3.x><printing>,309,how change string representation python class,how change string representation python class,how do i change the string representation of a python class ?
39,2024-02-13 18:27:19,Scraping: SSL: CERTIFICATE_VERIFY_FAILED error for http://en.wikipedia.org,<python><web-scraping><beautifulsoup><scrapy><ssl-certificate>,303,scraping ssl certificate_verify_failed error en.wikipedia.org,scraping ssl certificate_verify_failed error en.wikipedia.org,scraping : ssl : certificate_verify_failed error for : en.wikipedia.org
40,2017-10-01 15:04:38,Python: access class property from string,<python><syntax>,290,python access class property string,python access class property string,python : access class property from string
41,2022-07-30 13:07:53,How to count the frequency of the elements in an unordered list?,<python><list><frequency>,290,how count frequency elements unordered list,how count frequency element unordered list,how to count the frequency of the elements in an unordered list ?
42,2022-03-01 03:37:01,Find first element in a sequence that matches a predicate,<python><predicate>,284,find first element sequence matches predicate,find first element sequence match predicate,find first element in a sequence that matches a predicate
43,2021-07-13 19:58:45,"Confused by python file mode ""w+""",<python><file><io>,277,confused python file mode,confused python file mode,confused by python file mode `` w ``
44,2022-05-01 16:39:08,Python import csv to list,<python><csv>,270,python import csv list,python import csv list,python import csv to list
45,2022-10-31 10:35:27,Compute list difference,<python><list>,264,compute list difference,compute list difference,compute list difference
46,2021-03-01 22:12:03,How do I pass a method as a parameter in Python,<python><parameter-passing>,262,how pass method parameter python,how pas method parameter python,how do i pass a method as a parameter in python
47,2022-12-12 17:00:15,How to reliably open a file in the same directory as the currently running script,<python><directory>,260,how reliably open file directory currently running script,how reliably open file directory currently running script,how to reliably open a file in the same directory as the currently running script
48,2021-02-09 11:47:31,ModuleNotFoundError: What does it mean __main__ is not a package?,<python><module><python-3.6><python-import>,259,modulenotfounderror what mean __main__ package,modulenotfounderror what mean __main__ package,modulenotfounderror : what does it mean __main__ is not a package ?
49,2023-01-06 18:48:48,ImportError: No module named matplotlib.pyplot,<python><matplotlib>,259,importerror module named matplotlib.pyplot,importerror module named matplotlib.pyplot,importerror : no module named matplotlib.pyplot
